city,date,aqi,pollution,level,cond
嘉兴,2012-01-01,126,可吸入颗粒物,Ⅲ1,轻微污染	
嘉兴,2012-01-02,74,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-01-03,76,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-01-04,91,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-01-05,66,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-01-06,90,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-01-07,61,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-01-08,46,--,Ⅰ,优	
嘉兴,2012-01-09,53,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-01-10,82,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-01-11,100,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-01-12,71,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-01-13,72,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-01-14,80,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-01-15,32,--,Ⅰ,优	
嘉兴,2012-01-16,34,--,Ⅰ,优	
嘉兴,2012-01-17,50,--,Ⅰ,优	
嘉兴,2012-01-18,37,--,Ⅰ,优	
嘉兴,2012-01-19,61,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-01-20,95,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-01-21,79,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-01-22,37,--,Ⅰ,优	
嘉兴,2012-01-23,63,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-01-24,55,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-01-25,76,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-01-26,88,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-01-27,60,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-01-28,46,--,Ⅰ,优	
嘉兴,2012-01-29,39,--,Ⅰ,优	
嘉兴,2012-01-30,57,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-01-31,61,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-02-01,56,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-02-02,42,--,Ⅰ,优	
嘉兴,2012-02-03,34,--,Ⅰ,优	
嘉兴,2012-02-04,60,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-02-05,30,--,Ⅰ,优	
嘉兴,2012-02-06,60,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-02-07,61,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-02-08,68,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-02-09,75,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-02-10,77,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-02-11,84,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-02-12,76,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-02-13,47,--,Ⅰ,优	
嘉兴,2012-02-14,78,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-02-15,49,--,Ⅰ,优	
嘉兴,2012-02-16,52,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-02-17,66,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-02-18,73,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-02-19,58,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-02-20,68,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-02-21,72,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-02-22,98,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-02-23,56,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-02-24,83,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-02-25,72,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-02-26,47,--,Ⅰ,优	
嘉兴,2012-02-27,46,--,Ⅰ,优	
嘉兴,2012-02-28,46,--,Ⅰ,优	
嘉兴,2012-02-29,53,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-03-01,54,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-03-02,61,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-03-03,69,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-03-04,60,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-03-05,53,二氧化硫,Ⅱ,良	
嘉兴,2012-03-06,59,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-03-07,111,可吸入颗粒物,Ⅲ1,轻微污染	
嘉兴,2012-03-08,59,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-03-09,53,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-03-10,53,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-03-11,102,可吸入颗粒物,Ⅲ1,轻微污染	
嘉兴,2012-03-12,52,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-03-13,49,--,Ⅰ,优	
嘉兴,2012-03-14,58,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-03-15,56,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-03-16,51,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-03-17,69,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-03-18,94,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-03-19,76,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-03-20,44,--,Ⅰ,优	
嘉兴,2012-03-21,59,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-03-22,59,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-03-23,52,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-03-24,90,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-03-25,97,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-03-26,92,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-03-27,79,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-03-28,104,可吸入颗粒物,Ⅲ1,轻微污染	
嘉兴,2012-03-29,91,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-03-30,83,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-03-31,84,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-04-01,95,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-04-02,95,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-04-03,83,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-04-04,86,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-04-05,85,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-04-06,82,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-04-07,77,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-04-08,74,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-04-09,62,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-04-10,51,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-04-11,61,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-04-12,64,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-04-13,48,--,Ⅰ,优	
嘉兴,2012-04-14,87,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-04-15,72,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-04-16,76,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-04-17,86,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-04-18,68,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-04-19,61,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-04-20,73,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-04-21,61,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-04-22,63,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-04-23,74,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-04-24,70,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-04-25,31,--,Ⅰ,优	
嘉兴,2012-04-26,75,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-04-27,91,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-04-28,83,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-04-29,54,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-04-30,65,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-05-01,54,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-05-02,51,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-05-03,83,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-05-04,93,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-05-05,93,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-05-06,139,可吸入颗粒物,Ⅲ1,轻微污染	
嘉兴,2012-05-07,120,可吸入颗粒物,Ⅲ1,轻微污染	
嘉兴,2012-05-08,74,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-05-09,55,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-05-10,43,--,Ⅰ,优	
嘉兴,2012-05-11,65,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-05-12,70,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-05-13,56,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-05-14,43,--,Ⅰ,优	
嘉兴,2012-05-15,58,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-05-16,85,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-05-17,94,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-05-18,92,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-05-19,85,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-05-20,34,--,Ⅰ,优	
嘉兴,2012-05-21,53,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-05-22,54,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-05-23,53,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-05-24,50,--,Ⅰ,优	
嘉兴,2012-05-25,48,--,Ⅰ,优	
嘉兴,2012-05-26,41,--,Ⅰ,优	
嘉兴,2012-05-27,62,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-05-28,70,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-05-29,80,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-05-30,49,--,Ⅰ,优	
嘉兴,2012-05-31,39,--,Ⅰ,优	
嘉兴,2012-06-01,56,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-06-02,55,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-06-03,54,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-06-04,55,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-06-05,51,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-06-06,40,--,Ⅰ,优	
嘉兴,2012-06-07,54,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-06-08,72,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-06-09,70,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-06-10,76,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-06-11,95,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-06-12,63,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-06-13,70,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-06-14,73,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-06-15,46,--,Ⅰ,优	
嘉兴,2012-06-16,52,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-06-17,43,--,Ⅰ,优	
嘉兴,2012-06-18,18,--,Ⅰ,优	
嘉兴,2012-06-19,50,--,Ⅰ,优	
嘉兴,2012-06-20,35,--,Ⅰ,优	
嘉兴,2012-06-21,39,--,Ⅰ,优	
嘉兴,2012-06-22,51,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-06-23,26,--,Ⅰ,优	
嘉兴,2012-06-24,45,--,Ⅰ,优	
嘉兴,2012-06-25,63,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-06-26,41,--,Ⅰ,优	
嘉兴,2012-06-27,26,--,Ⅰ,优	
嘉兴,2012-06-28,37,--,Ⅰ,优	
嘉兴,2012-06-29,54,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-06-30,48,--,Ⅰ,优	
嘉兴,2012-07-01,62,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-07-02,51,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-07-03,53,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-07-04,60,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-07-05,64,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-07-06,66,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-07-07,50,--,Ⅰ,优	
嘉兴,2012-07-08,49,--,Ⅰ,优	
