武汉,2012-01-01,161,可吸入颗粒物,Ⅲ2,轻度污染	
武汉,2012-01-02,130,可吸入颗粒物,Ⅲ1,轻微污染	
武汉,2012-01-03,125,可吸入颗粒物,Ⅲ1,轻微污染	
武汉,2012-01-04,83,可吸入颗粒物,Ⅱ,良	
武汉,2012-01-05,72,可吸入颗粒物,Ⅱ,良	
武汉,2012-01-06,98,可吸入颗粒物,Ⅱ,良	
武汉,2012-01-07,85,可吸入颗粒物,Ⅱ,良	
武汉,2012-01-08,104,可吸入颗粒物,Ⅲ1,轻微污染	
武汉,2012-01-09,112,可吸入颗粒物,Ⅲ1,轻微污染	
武汉,2012-01-10,119,可吸入颗粒物,Ⅲ1,轻微污染	
武汉,2012-01-11,96,可吸入颗粒物,Ⅱ,良	
武汉,2012-01-12,127,可吸入颗粒物,Ⅲ1,轻微污染	
武汉,2012-01-13,128,可吸入颗粒物,Ⅲ1,轻微污染	
武汉,2012-01-14,111,可吸入颗粒物,Ⅲ1,轻微污染	
武汉,2012-01-15,91,可吸入颗粒物,Ⅱ,良	
武汉,2012-01-16,67,可吸入颗粒物,Ⅱ,良	
武汉,2012-01-17,74,可吸入颗粒物,Ⅱ,良	
武汉,2012-01-18,60,可吸入颗粒物,Ⅱ,良	
武汉,2012-01-19,40,--,Ⅰ,优	
武汉,2012-01-20,48,--,Ⅰ,优	
武汉,2012-01-21,89,可吸入颗粒物,Ⅱ,良	
武汉,2012-01-22,47,--,Ⅰ,优	
武汉,2012-01-23,79,可吸入颗粒物,Ⅱ,良	
武汉,2012-01-24,76,可吸入颗粒物,Ⅱ,良	
武汉,2012-01-25,59,可吸入颗粒物,Ⅱ,良	
武汉,2012-01-26,73,可吸入颗粒物,Ⅱ,良	
武汉,2012-01-27,76,可吸入颗粒物,Ⅱ,良	
武汉,2012-01-28,87,可吸入颗粒物,Ⅱ,良	
武汉,2012-01-29,59,可吸入颗粒物,Ⅱ,良	
武汉,2012-01-30,50,--,Ⅰ,优	
武汉,2012-01-31,62,可吸入颗粒物,Ⅱ,良	
武汉,2012-02-01,66,可吸入颗粒物,Ⅱ,良	
武汉,2012-02-02,68,可吸入颗粒物,Ⅱ,良	
武汉,2012-02-03,52,可吸入颗粒物,Ⅱ,良	
武汉,2012-02-04,68,可吸入颗粒物,Ⅱ,良	
武汉,2012-02-05,77,可吸入颗粒物,Ⅱ,良	
武汉,2012-02-06,74,可吸入颗粒物,Ⅱ,良	
武汉,2012-02-07,99,可吸入颗粒物,Ⅱ,良	
武汉,2012-02-08,75,可吸入颗粒物,Ⅱ,良	
武汉,2012-02-09,62,可吸入颗粒物,Ⅱ,良	
武汉,2012-02-10,54,可吸入颗粒物,Ⅱ,良	
武汉,2012-02-11,68,可吸入颗粒物,Ⅱ,良	
武汉,2012-02-12,70,可吸入颗粒物,Ⅱ,良	
武汉,2012-02-13,73,可吸入颗粒物,Ⅱ,良	
武汉,2012-02-14,72,可吸入颗粒物,Ⅱ,良	
武汉,2012-02-15,51,可吸入颗粒物,Ⅱ,良	
武汉,2012-02-16,23,--,Ⅰ,优	
武汉,2012-02-17,54,可吸入颗粒物,Ⅱ,良	
武汉,2012-02-18,103,可吸入颗粒物,Ⅲ1,轻微污染	
武汉,2012-02-19,79,可吸入颗粒物,Ⅱ,良	
武汉,2012-02-20,68,二氧化硫,Ⅱ,良	
武汉,2012-02-21,75,可吸入颗粒物,Ⅱ,良	
武汉,2012-02-22,71,可吸入颗粒物,Ⅱ,良	
武汉,2012-02-23,67,可吸入颗粒物,Ⅱ,良	
武汉,2012-02-24,74,可吸入颗粒物,Ⅱ,良	
武汉,2012-02-25,58,可吸入颗粒物,Ⅱ,良	
武汉,2012-02-26,48,--,Ⅰ,优	
武汉,2012-02-27,62,可吸入颗粒物,Ⅱ,良	
武汉,2012-02-28,65,可吸入颗粒物,Ⅱ,良	
武汉,2012-02-29,51,可吸入颗粒物,Ⅱ,良	
武汉,2012-03-01,63,可吸入颗粒物,Ⅱ,良	
武汉,2012-03-02,65,可吸入颗粒物,Ⅱ,良	
武汉,2012-03-03,39,--,Ⅰ,优	
武汉,2012-03-04,48,--,Ⅰ,优	
武汉,2012-03-05,48,--,Ⅰ,优	
武汉,2012-03-06,75,可吸入颗粒物,Ⅱ,良	
武汉,2012-03-07,90,可吸入颗粒物,Ⅱ,良	
武汉,2012-03-08,53,可吸入颗粒物,Ⅱ,良	
武汉,2012-03-09,31,--,Ⅰ,优	
武汉,2012-03-10,61,可吸入颗粒物,Ⅱ,良	
武汉,2012-03-11,84,可吸入颗粒物,Ⅱ,良	
武汉,2012-03-12,77,可吸入颗粒物,Ⅱ,良	
武汉,2012-03-13,143,可吸入颗粒物,Ⅲ1,轻微污染	
武汉,2012-03-14,119,可吸入颗粒物,Ⅲ1,轻微污染	
武汉,2012-03-15,90,可吸入颗粒物,Ⅱ,良	
武汉,2012-03-16,51,可吸入颗粒物,Ⅱ,良	
武汉,2012-03-17,72,可吸入颗粒物,Ⅱ,良	
武汉,2012-03-18,83,可吸入颗粒物,Ⅱ,良	
武汉,2012-03-19,88,可吸入颗粒物,Ⅱ,良	
武汉,2012-03-20,27,--,Ⅰ,优	
武汉,2012-03-21,52,可吸入颗粒物,Ⅱ,良	
武汉,2012-03-22,45,--,Ⅰ,优	
武汉,2012-03-23,41,--,Ⅰ,优	
武汉,2012-03-24,125,可吸入颗粒物,Ⅲ1,轻微污染	
武汉,2012-03-25,98,可吸入颗粒物,Ⅱ,良	
武汉,2012-03-26,117,可吸入颗粒物,Ⅲ1,轻微污染	
武汉,2012-03-27,92,可吸入颗粒物,Ⅱ,良	
武汉,2012-03-28,107,可吸入颗粒物,Ⅲ1,轻微污染	
武汉,2012-03-29,86,可吸入颗粒物,Ⅱ,良	
武汉,2012-03-30,63,可吸入颗粒物,Ⅱ,良	
武汉,2012-03-31,69,可吸入颗粒物,Ⅱ,良	
