index,city,date,polluteNum,polluteType,polluteRank,polluteCond
北京,2012-01-19,269,可吸入颗粒物,Ⅳ2,中度重污染	
天津,2012-01-19,156,可吸入颗粒物,Ⅲ2,轻度污染	
石家庄,2012-01-19,153,可吸入颗粒物,Ⅲ2,轻度污染	
唐山,2012-01-19,177,可吸入颗粒物,Ⅲ2,轻度污染	
秦皇岛,2012-01-19,89,可吸入颗粒物,Ⅱ,良	
邯郸,2012-01-19,129,可吸入颗粒物,Ⅲ1,轻微污染	
保定,2012-01-19,114,可吸入颗粒物,Ⅲ1,轻微污染	
太原,2012-01-19,90,二氧化硫,Ⅱ,良	
大同,2012-01-19,102,可吸入颗粒物,Ⅲ1,轻微污染	
阳泉,2012-01-19,172,可吸入颗粒物,Ⅲ2,轻度污染	
长治,2012-01-19,55,可吸入颗粒物,Ⅱ,良	
临汾,2012-01-19,75,可吸入颗粒物,Ⅱ,良	
呼和浩特,2012-01-19,86,可吸入颗粒物,Ⅱ,良	
包头,2012-01-19,99,二氧化硫,Ⅱ,良	
赤峰,2012-01-19,85,可吸入颗粒物,Ⅱ,良	
沈阳,2012-01-19,100,可吸入颗粒物,Ⅱ,良	
大连,2012-01-19,115,可吸入颗粒物,Ⅲ1,轻微污染	
鞍山,2012-01-19,183,可吸入颗粒物,Ⅲ2,轻度污染	
抚顺,2012-01-19,147,可吸入颗粒物,Ⅲ1,轻微污染	
本溪,2012-01-19,107,二氧化硫,Ⅲ1,轻微污染	
锦州,2012-01-19,138,可吸入颗粒物,Ⅲ1,轻微污染	
长春,2012-01-19,142,可吸入颗粒物,Ⅲ1,轻微污染	
吉林,2012-01-19,138,可吸入颗粒物,Ⅲ1,轻微污染	
哈尔滨,2012-01-19,118,可吸入颗粒物,Ⅲ1,轻微污染	
齐齐哈尔,2012-01-19,97,可吸入颗粒物,Ⅱ,良	
大庆,2012-01-19,79,可吸入颗粒物,Ⅱ,良	
牡丹江,2012-01-19,129,可吸入颗粒物,Ⅲ1,轻微污染	
上海,2012-01-19,71,可吸入颗粒物,Ⅱ,良	
南京,2012-01-19,55,可吸入颗粒物,Ⅱ,良	
无锡,2012-01-19,61,可吸入颗粒物,Ⅱ,良	
徐州,2012-01-19,83,可吸入颗粒物,Ⅱ,良	
