index,city,date,polluteNum,polluteType,polluteRank,polluteCond
北京,2012-11-28,151,可吸入颗粒物,Ⅲ2,轻度污染	
天津,2012-11-28,148,可吸入颗粒物,Ⅲ1,轻微污染	
石家庄,2012-11-28,130,可吸入颗粒物,Ⅲ1,轻微污染	
唐山,2012-11-28,129,可吸入颗粒物,Ⅲ1,轻微污染	
秦皇岛,2012-11-28,54,可吸入颗粒物,Ⅱ,良	
邯郸,2012-11-28,96,可吸入颗粒物,Ⅱ,良	
保定,2012-11-28,125,可吸入颗粒物,Ⅲ1,轻微污染	
太原,2012-11-28,89,可吸入颗粒物,Ⅱ,良	
大同,2012-11-28,113,可吸入颗粒物,Ⅲ1,轻微污染	
阳泉,2012-11-28,70,可吸入颗粒物,Ⅱ,良	
长治,2012-11-28,52,可吸入颗粒物,Ⅱ,良	
临汾,2012-11-28,116,可吸入颗粒物,Ⅲ1,轻微污染	
呼和浩特,2012-11-28,132,可吸入颗粒物,Ⅲ1,轻微污染	
包头,2012-11-28,406,可吸入颗粒物,Ⅴ,重污染	
赤峰,2012-11-28,74,可吸入颗粒物,Ⅱ,良	
沈阳,2012-11-28,62,可吸入颗粒物,Ⅱ,良	
大连,2012-11-28,119,可吸入颗粒物,Ⅲ1,轻微污染	
鞍山,2012-11-28,76,可吸入颗粒物,Ⅱ,良	
抚顺,2012-11-28,60,可吸入颗粒物,Ⅱ,良	
本溪,2012-11-28,57,二氧化硫,Ⅱ,良	
锦州,2012-11-28,75,可吸入颗粒物,Ⅱ,良	
长春,2012-11-28,91,可吸入颗粒物,Ⅱ,良	
吉林,2012-11-28,53,可吸入颗粒物,Ⅱ,良	
哈尔滨,2012-11-28,93,可吸入颗粒物,Ⅱ,良	
齐齐哈尔,2012-11-28,73,可吸入颗粒物,Ⅱ,良	
大庆,2012-11-28,51,可吸入颗粒物,Ⅱ,良	
牡丹江,2012-11-28,60,可吸入颗粒物,Ⅱ,良	
上海,2012-11-28,81,可吸入颗粒物,Ⅱ,良	
南京,2012-11-28,91,可吸入颗粒物,Ⅱ,良	
无锡,2012-11-28,100,可吸入颗粒物,Ⅱ,良	
徐州,2012-11-28,75,可吸入颗粒物,Ⅱ,良	
常州,2012-11-28,94,可吸入颗粒物,Ⅱ,良	
苏州,2012-11-28,95,可吸入颗粒物,Ⅱ,良	
南通,2012-11-28,95,可吸入颗粒物,Ⅱ,良	
连云港,2012-11-28,102,可吸入颗粒物,Ⅲ1,轻微污染	
扬州,2012-11-28,92,可吸入颗粒物,Ⅱ,良	
镇江,2012-11-28,97,可吸入颗粒物,Ⅱ,良	
杭州,2012-11-28,92,可吸入颗粒物,Ⅱ,良	
宁波,2012-11-28,80,可吸入颗粒物,Ⅱ,良	
温州,2012-11-28,100,可吸入颗粒物,Ⅱ,良	
嘉兴,2012-11-28,82,可吸入颗粒物,Ⅱ,良	
湖州,2012-11-28,119,可吸入颗粒物,Ⅲ1,轻微污染	
绍兴,2012-11-28,78,可吸入颗粒物,Ⅱ,良	
台州,2012-11-28,80,可吸入颗粒物,Ⅱ,良	
合肥,2012-11-28,69,可吸入颗粒物,Ⅱ,良	
芜湖,2012-11-28,60,可吸入颗粒物,Ⅱ,良	
马鞍山,2012-11-28,72,可吸入颗粒物,Ⅱ,良	
福州,2012-11-28,77,可吸入颗粒物,Ⅱ,良	
厦门,2012-11-28,61,可吸入颗粒物,Ⅱ,良	
泉州,2012-11-28,60,可吸入颗粒物,Ⅱ,良	
南昌,2012-11-28,90,可吸入颗粒物,Ⅱ,良	
九江,2012-11-28,50,--,Ⅰ,优	
济南,2012-11-28,108,可吸入颗粒物,Ⅲ1,轻微污染	
青岛,2012-11-28,112,可吸入颗粒物,Ⅲ1,轻微污染	
淄博,2012-11-28,103,可吸入颗粒物,Ⅲ1,轻微污染	
枣庄,2012-11-28,101,可吸入颗粒物,Ⅲ1,轻微污染	
烟台,2012-11-28,99,可吸入颗粒物,Ⅱ,良	
潍坊,2012-11-28,111,可吸入颗粒物,Ⅲ1,轻微污染	
