Date,可吸入颗粒物,二氧化硫,二氧化氮,其他,Time
1,92,4,0,1,2012/1/1
2,104,11,0,5,2012/1/2
3,89,9,0,22,2012/1/3
4,65,20,0,35,2012/1/4
5,73,27,0,20,2012/1/5
6,79,19,0,22,2012/1/6
7,82,19,0,19,2012/1/7
8,93,10,0,17,2012/1/8
9,99,8,0,13,2012/1/9
10,105,9,0,6,2012/1/10
11,96,16,0,8,2012/1/11
12,95,16,0,9,2012/1/12
13,98,12,0,10,2012/1/13
14,92,16,0,12,2012/1/14
15,78,15,0,27,2012/1/15
16,76,14,0,30,2012/1/16
17,80,9,0,31,2012/1/17
18,82,10,0,28,2012/1/18
19,87,5,0,28,2012/1/19
20,77,7,0,36,2012/1/20
21,64,9,0,47,2012/1/21
22,30,17,0,73,2012/1/22
23,91,12,0,17,2012/1/23
24,77,18,0,25,2012/1/24
25,63,19,0,38,2012/1/25
26,87,19,0,14,2012/1/26
27,94,17,0,9,2012/1/27
28,83,14,0,23,2012/1/28
29,71,15,0,34,2012/1/29
30,77,18,0,25,2012/1/30
31,90,12,0,18,2012/1/31
32,84,13,0,23,2012/2/1
33,61,19,0,40,2012/2/2
34,53,27,0,40,2012/2/3
35,77,16,0,27,2012/2/4
36,83,19,0,18,2012/2/5
37,91,12,0,17,2012/2/6
38,91,6,0,23,2012/2/7
39,68,17,0,35,2012/2/8
40,73,28,0,19,2012/2/9
41,73,29,0,18,2012/2/10
42,62,31,0,27,2012/2/11
43,86,21,0,13,2012/2/12
44,84,18,0,18,2012/2/13
45,101,10,0,9,2012/2/14
46,80,16,1,23,2012/2/15
47,68,12,0,40,2012/2/16
48,69,11,0,40,2012/2/17
49,73,12,0,35,2012/2/18
50,81,20,0,19,2012/2/19
51,98,19,0,3,2012/2/20
52,103,11,0,6,2012/2/21
53,104,6,1,9,2012/2/22
54,95,5,2,18,2012/2/23
55,86,15,0,19,2012/2/24
56,78,15,0,27,2012/2/25
57,65,14,0,41,2012/2/26
58,71,15,0,34,2012/2/27
59,69,11,0,40,2012/2/28
60,83,9,0,28,2012/2/29
61,94,5,0,21,2012/3/1
62,99,5,0,16,2012/3/2
63,83,8,0,29,2012/3/3
64,81,12,0,27,2012/3/4
65,83,10,0,27,2012/3/5
66,85,8,0,27,2012/3/6
67,91,5,0,24,2012/3/7
68,81,4,0,35,2012/3/8
69,66,12,0,42,2012/3/9
70,85,10,0,25,2012/3/10
71,90,5,0,25,2012/3/11
72,89,11,0,20,2012/3/12
73,101,8,0,11,2012/3/13
74,107,5,1,7,2012/3/14
75,99,6,1,14,2012/3/15
76,92,3,0,25,2012/3/16
77,101,6,1,12,2012/3/17
78,97,5,0,18,2012/3/18
79,79,8,0,33,2012/3/19
80,77,7,0,36,2012/3/20
81,94,6,0,20,2012/3/21
82,96,3,0,21,2012/3/22
83,83,4,0,33,2012/3/23
84,90,8,0,22,2012/3/24
85,101,2,0,17,2012/3/25
86,105,4,0,11,2012/3/26
87,111,5,0,4,2012/3/27
88,109,4,1,6,2012/3/28
89,113,2,0,5,2012/3/29
90,109,1,0,10,2012/3/30
91,96,4,0,20,2012/3/31
92,101,3,0,16,2012/4/1
93,105,4,0,11,2012/4/2
94,105,2,0,13,2012/4/3
95,109,0,0,11,2012/4/4
96,94,0,0,26,2012/4/5
97,99,1,0,20,2012/4/6
98,101,4,0,15,2012/4/7
99,106,2,0,12,2012/4/8
100,104,2,0,14,2012/4/9
101,99,6,0,15,2012/4/10
102,88,2,0,30,2012/4/11
103,84,5,0,31,2012/4/12
104,80,5,0,35,2012/4/13
105,98,4,0,18,2012/4/14
106,98,2,0,20,2012/4/15
107,99,5,0,16,2012/4/16
108,98,4,0,18,2012/4/17
109,101,3,0,16,2012/4/18
110,104,4,0,12,2012/4/19
111,97,0,0,23,2012/4/20
112,83,5,1,31,2012/4/21
113,102,3,0,15,2012/4/22
114,104,2,0,14,2012/4/23
115,92,0,0,28,2012/4/24
116,62,2,0,56,2012/4/25
117,85,0,0,35,2012/4/26
118,109,2,0,9,2012/4/27
119,107,1,0,12,2012/4/28
120,102,1,0,17,2012/4/29
121,93,0,0,27,2012/4/30
122,78,2,0,40,2012/5/1
123,76,2,0,42,2012/5/2
124,94,2,0,24,2012/5/3
125,98,1,0,21,2012/5/4
126,97,2,0,21,2012/5/5
127,103,1,0,16,2012/5/6
128,103,1,0,16,2012/5/7
129,98,1,0,21,2012/5/8
130,95,0,0,25,2012/5/9
131,91,0,0,29,2012/5/10
132,100,0,0,20,2012/5/11
133,94,0,0,26,2012/5/12
134,84,2,0,34,2012/5/13
135,77,2,0,41,2012/5/14
136,79,4,0,37,2012/5/15
137,92,5,0,23,2012/5/16
138,93,2,0,25,2012/5/17
139,98,2,0,20,2012/5/18
140,99,2,0,19,2012/5/19
141,91,0,0,29,2012/5/20
142,89,1,0,30,2012/5/21
143,89,1,0,30,2012/5/22
144,92,0,0,28,2012/5/23
145,81,1,0,38,2012/5/24
146,74,1,0,45,2012/5/25
147,79,2,0,39,2012/5/26
148,96,3,0,21,2012/5/27
149,93,1,0,26,2012/5/28
150,86,2,0,32,2012/5/29
151,73,1,0,46,2012/5/30
152,70,1,0,49,2012/5/31
153,86,0,0,34,2012/6/1
154,77,1,0,42,2012/6/2
155,85,0,0,35,2012/6/3
156,77,2,0,41,2012/6/4
157,82,0,0,38,2012/6/5
158,85,1,0,34,2012/6/6
159,88,1,0,31,2012/6/7
160,87,2,0,31,2012/6/8
161,83,3,0,34,2012/6/9
162,81,3,0,36,2012/6/10
163,70,3,0,47,2012/6/11
164,85,4,0,31,2012/6/12
165,95,2,0,23,2012/6/13
166,92,1,0,27,2012/6/14
167,76,2,0,42,2012/6/15
168,84,2,0,34,2012/6/16
169,90,1,0,29,2012/6/17
170,79,1,0,40,2012/6/18
171,84,1,0,35,2012/6/19
172,92,3,0,25,2012/6/20
173,96,1,0,23,2012/6/21
174,89,1,0,30,2012/6/22
175,70,1,0,49,2012/6/23
176,62,1,0,57,2012/6/24
177,74,1,0,45,2012/6/25
178,61,0,0,59,2012/6/26
179,54,1,0,65,2012/6/27
180,65,1,0,54,2012/6/28
181,64,2,0,54,2012/6/29
182,55,3,0,62,2012/6/30
183,72,4,0,44,2012/7/1
184,75,0,0,45,2012/7/2
185,56,2,0,62,2012/7/3
186,66,1,0,53,2012/7/4
187,53,3,0,64,2012/7/5
188,70,1,0,49,2012/7/6
189,79,1,0,40,2012/7/7
190,77,2,0,41,2012/7/8
191,67,4,0,49,2012/7/9
192,58,3,0,59,2012/7/10
193,63,3,0,54,2012/7/11
194,71,4,0,45,2012/7/12
195,59,4,0,57,2012/7/13
196,51,2,0,67,2012/7/14
197,62,3,0,55,2012/7/15
198,84,1,0,35,2012/7/16
199,71,0,0,49,2012/7/17
200,65,1,0,54,2012/7/18
201,71,1,0,48,2012/7/19
202,93,1,0,26,2012/7/20
203,84,0,0,36,2012/7/21
204,56,0,0,64,2012/7/22
205,38,4,0,78,2012/7/23
206,43,1,0,76,2012/7/24
207,53,2,0,65,2012/7/25
208,105,2,0,132,2012/7/26
209,1,0,0,0,2012/7/27
210,46,1,0,73,2012/7/28
211,50,0,0,70,2012/7/29
212,48,3,0,69,2012/7/30
213,55,3,0,62,2012/7/31
214,47,3,0,70,2012/8/1
215,46,4,0,70,2012/8/2
216,67,1,0,52,2012/8/3
217,74,2,0,44,2012/8/4
218,64,1,0,55,2012/8/5
219,46,0,0,74,2012/8/6
220,57,1,0,62,2012/8/7
221,72,3,0,45,2012/8/8
222,80,5,0,35,2012/8/9
