Date,优,良,轻微污染,轻度污染,中度污染,中度重污染,重度污染,Time
1,1,57,33,3,1,2,0,2012/1/1
2,5,86,24,3,1,1,0,2012/1/2
3,22,78,19,0,1,0,0,2012/1/3
4,35,80,5,0,0,0,0,2012/1/4
5,20,93,6,1,0,0,0,2012/1/5
6,22,90,7,0,0,0,0,2012/1/6
7,19,85,15,0,0,0,0,2012/1/7
8,17,80,20,2,0,0,0,2012/1/8
9,13,69,31,4,2,0,0,2012/1/9
10,6,78,23,8,2,2,0,2012/1/10
11,8,83,21,6,0,1,0,2012/1/11
12,9,96,15,0,0,0,0,2012/1/12
13,10,81,27,1,0,1,0,2012/1/13
14,12,83,22,2,0,0,0,2012/1/14
15,27,77,12,2,1,1,0,2012/1/15
16,30,69,18,2,1,0,0,2012/1/16
17,31,64,18,7,0,0,0,2012/1/17
18,28,62,20,10,0,0,0,2012/1/18
19,28,65,18,8,0,1,0,2012/1/19
20,36,61,17,6,0,0,0,2012/1/20
21,47,73,0,0,0,0,0,2012/1/21
22,73,46,1,0,0,0,0,2012/1/22
23,17,82,20,1,0,0,0,2012/1/23
24,25,94,0,1,0,0,0,2012/1/24
25,38,80,1,0,0,1,0,2012/1/25
26,14,101,3,1,0,1,0,2012/1/26
27,9,105,4,1,0,0,0,2012/1/27
28,23,88,9,0,0,0,0,2012/1/28
29,34,77,8,1,0,0,0,2012/1/29
30,25,85,9,1,0,0,0,2012/1/30
31,18,88,13,1,0,0,0,2012/1/31
32,23,86,10,1,0,0,0,2012/2/1
33,40,77,3,0,0,0,0,2012/2/2
34,40,76,3,1,0,0,0,2012/2/3
35,27,87,4,1,0,1,0,2012/2/4
36,18,95,6,1,0,0,0,2012/2/5
37,17,85,17,1,0,0,0,2012/2/6
38,23,92,5,0,0,0,0,2012/2/7
39,35,84,1,0,0,0,0,2012/2/8
40,19,98,3,0,0,0,0,2012/2/9
41,18,100,2,0,0,0,0,2012/2/10
42,27,86,6,1,0,0,0,2012/2/11
43,13,99,7,0,0,1,0,2012/2/12
44,18,91,10,1,0,0,0,2012/2/13
45,9,88,22,1,0,0,0,2012/2/14
46,23,81,14,2,0,0,0,2012/2/15
47,40,70,10,0,0,0,0,2012/2/16
48,40,78,2,0,0,0,0,2012/2/17
49,35,84,1,0,0,0,0,2012/2/18
50,19,99,2,0,0,0,0,2012/2/19
51,3,116,1,0,0,0,0,2012/2/20
52,6,94,20,0,0,0,0,2012/2/21
53,9,81,30,0,0,0,0,2012/2/22
54,18,83,17,2,0,0,0,2012/2/23
55,19,92,9,0,0,0,0,2012/2/24
56,27,90,3,0,0,0,0,2012/2/25
57,41,78,1,0,0,0,0,2012/2/26
58,34,82,4,0,0,0,0,2012/2/27
59,40,74,5,1,0,0,0,2012/2/28
60,28,80,12,0,0,0,0,2012/2/29
61,21,90,9,0,0,0,0,2012/3/1
62,16,98,6,0,0,0,0,2012/3/2
63,29,88,3,0,0,0,0,2012/3/3
64,27,90,3,0,0,0,0,2012/3/4
65,27,92,1,0,0,0,0,2012/3/5
66,27,89,4,0,0,0,0,2012/3/6
67,24,82,14,0,0,0,0,2012/3/7
68,35,84,1,0,0,0,0,2012/3/8
69,42,77,1,0,0,0,0,2012/3/9
70,25,93,2,0,0,0,0,2012/3/10
71,25,85,10,0,0,0,0,2012/3/11
72,20,96,3,1,0,0,0,2012/3/12
73,11,99,10,0,0,0,0,2012/3/13
74,7,98,15,0,0,0,0,2012/3/14
75,14,94,11,0,0,0,0,2012/3/15
76,25,83,10,1,0,0,0,2012/3/16
77,12,86,20,2,0,0,0,2012/3/17
78,18,80,21,1,0,0,0,2012/3/18
79,33,77,9,1,0,0,0,2012/3/19
80,36,73,10,1,0,0,0,2012/3/20
81,20,93,5,2,0,0,0,2012/3/21
